text,label
"As more patients choose dental implants as their primary treatment option to restore edentulous ridges or to replace compromised dentition, preventive strategies for peri-implant diseases and complications have become an important topic.
The aim of the review article is to summarize the current available evidence on the potential risk factors/indicators for peri-implant disease development and then focus on the preventive strategies for peri-implant diseases and conditions.
After reviewing the diagnostic criteria and the etiology of peri-implant diseases and conditions, evidence on the possible associated risk factors/indicators for peri-implant diseases were searched and identified. Recent studies were also surveyed to explore the preventive measures for peri-implant diseases.
The possible associated risk factors of peri-implant diseases can be divided into the following categories: patient-specific factors, implant-specific factors, and long-term factors. Patient-specific factors such as history of periodontitis and smoking have been conclusively associated with peri-implant diseases, whereas findings on others, such as diabetes and genetic factors, remain inconclusive. It has been suggested that both implant-specific factors, such as implant position, soft tissue characteristics, and the type of connection used, and long-term factors, such as poor plaque control and a lack of maintenance program, have a strong impact on maintaining the health of a dental implant. Assessment tool for evaluating the risk factors can be a potential preventive measure for peri-implant disease prediction, and it is needed to be properly validated.
Proper maintenance program for early intervention to control peri-implant diseases at the initial stage and pretreatment assessment of the potential risk factors is the best strategy to prevent implant diseases.",0
"Diabetes mellitus (DM) is a recognized risk factor for dementia, and increasing evidence shows that tooth loss is associated with cognitive impairment and dementia. However, the effect of the co-occurrence of DM and edentulism on cognitive decline is understudied. This 12-y cohort study aimed to assess the effect of the co-occurrence of DM and edentulism on cognitive decline and examine whether the effect differs by age group. Data were drawn from the 2006 to 2018 Health and Retirement Study. The study sample included 5,440 older adults aged 65 to 74 y, 3,300 aged 75 to 84 y, and 1,208 aged 85 y or older. Linear mixed-effect regression was employed to model the rates of cognitive decline stratified by age cohorts. Compared with their counterparts with neither DM nor edentulism at baseline, older adults aged 65 to 74 y (β = -1.12; 95% confidence interval [CI], -1.56 to -0.65; ",0
"Risk factors associated with tooth loss have been studied; however, the current status of the epidemiological profiles and the impact of the pandemic on the oral health of the elderly is still unknown. This study aims to determine the experience of caries and tooth loss among elderly Chilean citizens in five regions and to identify the risk factors associated with tooth loss. The sample includes 135 participants over 60 years old assessed during COVID-19 lockdown. Sociodemographic variables such as education and RSH (Social Registry of Households) were obtained through a teledentistry platform called TEGO. The history of chronic diseases such as diabetes, obesity, depression and dental caries reported by DMFT index scores were incorporated. The statistical analysis included Adjusted Odds Ratios (ORs) to assess risk factors associated with the lack of functional dentition. Multivariate hypothesis testing was used to compare the mean equality of DMFT and its components between regions (",0
"To retrospectively assess clinical and radiographic outcomes of immediately loaded full-arch fixed prostheses supported by axial and tilted implants up to 15 years of function.
Patients with one completely edentulous arch received an immediate full-arch fixed prosthesis supported by two anterior axial and two posterior tilted implants. Definitive prosthesis consisting of a CAD-CAM titanium framework and acrylic teeth was delivered 6 months later. Patients were regularly followed to assess clinical parameters and marginal bone level (MBL) change. Multilevel regression analysis was performed to investigate factors affecting implant failure and MBL.
Six hundred ninety-two implants were placed in 72 maxillae and 101 mandibles. Seven maxillary implants (5 axial and 2 tilted) in 6 patients and 12 mandibular implants (6 axial and 6 tilted) in 5 patients failed. 15-year cumulative implant survival was 97.51% and 96.91% in maxilla and mandible, respectively (p = .64). After 10 years, the difference in MBL between axial and tilted implants was not significant in the maxilla (p = .47, 65 patients), while it was in the mandible (p < .001, 80 patients). Significant higher bone loss was reported in the mandible at both 5- and 10-year follow-up (p < .001 and p = .004, respectively). Mixed-effect multilevel linear regression evidenced a correlation between arch and bone loss at 5- and 10-year follow-up, while no correlation was found with age, gender, smoking, diabetes, and history of periodontal disease.
This long-term study suggests that the present technique can be considered a viable treatment modality for the immediate rehabilitation of both maxilla and mandible.",0
"Periodontal disease often develops in patients with diabetes, and further exacerbated with diabetic complications. It would be clinically important to clarify the relationship between diabetic microvascular diseases and periodontal disease. This study aimed to evaluate the association between periodontal disease and diabetic complications in patients with type 2 diabetes with poor glycemic control. A total of 447 patients with type 2 diabetes hospitalized at Rakuwakai Otowa Hospital, Japan, were initially recruited in this study. After excluding 134 patients who lacked clinical data or were edentulous, 312 were included in our study. The severity of periodontal disease was evaluated based on the average bone resorption rate. Patients with diabetic nephropathy developed severe periodontal disease (multivariate-adjusted odds ratio, 3.00 [95% CI 1.41-5.19]). Diabetic neuropathy was positively associated with the severity of periodontal disease; the multivariate-adjusted odds ratio (95% CI) was 1.62 (0.87‒2.99) for moderate and 4.26 (2.21‒8.20) for severe periodontal disease. In contrast, diabetic retinopathy was linked with moderate periodontal disease (multivariate-adjusted odds ratio 2.23 [95% CI 1.10-4.10]), but not with severe conditions (multivariate-adjusted odds ratio 0.92 [95% CI 0.67-3.07]). In conclusion, periodontal disease, evaluated by average bone resorption rate, was associated with diabetic nephropathy and neuropathy.
The online version contains supplementary material available at 10.1007/s13340-022-00591-0.",0
"The objective of the present study was to compare the prevalence of edentulism in Mexican adults with and without a diagnosis of type 2 diabetes mellitus (T2DM) when they are seeking dental care. A cross-sectional study was conducted on 1921 medical records of Mexican adults 40 years of age and older who sought dental care at clinics of a public university in Mexico. The dependent variable was edentulism, clinically determined through an oral examination. The main independent variable was the self-report of previous T2DM diagnosis made by a physician. Sociodemographic, socioeconomic and behavioral covariates were included in a multivariate binary logistic regression model. Overall edentulism prevalence was 8.4% (95% CI = 7.1-9.6). The prevalence of T2DM was 14.3% (n = 274). The prevalence of edentulism among individuals with T2DM was 13.1%, but only 7.6% among individuals without T2DM. In the multivariate binary logistic regression model, a previous T2DM diagnosis increased the probability of being edentulous 1.61 times (95% CI = 1.03-2.50). For each year a person's age increased, the likelihood of being edentulous increased by 12% (95% CI = 10-14%). In summary, a higher prevalence of edentulism was present in Mexican adults with T2DM and in those of older age. This information may be used by dental care providers and health policymakers to improve approaches to preventive care, as well as to characterize and anticipate care needs more accurately for the adult and older adult populations.",0
"The purpose of this work is to analyze the effects of removable dental prostheses and aging on blood microcirculation in the palatal mucosa.
Blood flow was measured in two groups using the Laser Doppler Flowmeter at three specific anatomical sites: Retro incisive papilla, medial raphe, and Schroeder area.
Group 1 included young, healthy dentulous individuals (mean age: 23 ± 3 years), and Group 2 contained elderly edentulous individuals (mean age: 62 ± 11.69 years). For Group 1, measurements were taken in a single session; for Group 2, the measurements were taken in two sessions: The first just before the prosthetic load (E1) and again 1 week after new dentures were provider (E2).
Statistical analyses were performed using SAS software, Version 9.4 of the SAS System for Windows, Copyright © 2017 SAS Institute Inc. (Cary, NC, USA). A P < 0.05 was classified as statistically significant.
Measurements of blood flow of the palatal mucosa showed that the healthy young dentulous participants had significantly lower perfusion unit values than the elderly edentulous participants at all three anatomical sites (P < 0.05). For Group 2, the comparisons between the measurements taken before (E1) and after (E2) new dentures were provided showed no significant differences.
Our results indicate that the process of aging significantly modifies the blood flow of the palatal mucosa while wearing removable dental prostheses does not modify the blood flow of the palatal mucosa in a 1week period. These results are not influenced by systemic pathology (e.g., diabetes, cardiovascular diseases) or smoking.",0
"To evaluate the benefits of implant therapy for patients with diabetes, we compared (i) healthy, (ii) well controlled T2DM and (iii) poorly controlled T2DM patients, in terms of oral health-related quality of life (OHRQoL) and satisfaction with mandibular 2-implant overdentures over 12 months following restoration.
This single-center, prospective, cohort study recruited 165 edentulous adults (HbA1c<12%) to receive two endosseous implants in the anterior mandible to support mandibular overdentures. Participants were enrolled as having T2DM or not, with T2DM participants divided according to HbA1c into well-controlled (<8.1%) and poorly controlled (≥ 8.1%) groups. Participants provided responses to the OHIP-20 (OHRQoL) and the McGill Denture Satisfaction Questionnaire, before implant therapy and 6 and 12 months after overdenture insertion using Locator attachments. HbA1c was measured at the same time points. The effect of groups and time was verified using generalized estimating equations (α=0.025).
At 12 months, 137 participants provided responses. The two diabetes groups showed improvements in OHRQoL to the same extent as the non-diabetic control group at both 6 and 12 months. Patient satisfaction showed similar improvements with no between-group differences and similar increases identified at 6 and 12 months. HbA1c was not affected by time or groups.
Dental implant therapy provided significant improvements in patient-perceived benefits of mandibular two-implant overdentures for T2DM individuals, which are similar to those found for healthy edentulous individuals. Importantly, those benefits extend to those individuals with poorly controlled glycaemia. The addition of 2-implant supported mandibular overdentures did not affect glycaemic status over 12 months following insertion.
As risks for implant therapy relative to glycaemic status are better understood, this study documents that implant therapy may offer important benefits in QoL for T2DM patients independent of glycaemic status.",0
"The aim of this retrospective clinical study was to evaluate and compare implant survival, marginal bone loss, and clinical and prosthetic complications in healthy patients and patients with type I diabetes undergoing full arch implant-prosthetic rehabilitation. A total of 47 patients needing total fixed rehabilitation of one or both arches were enrolled for this study. Based on the absence of any systemic diseases (Group A) or the presence of type I diabetes (Group B), the sample was divided into two groups. According to the grade of bone atrophy in the posterior region, patients received full arch rehabilitation (of one or both jaws) with 6 axial implants or, if the residual posterior bone height was insufficient, All-on-Four rehabilitation and a total 236 dental implants were placed. Follow-up visits were performed 1 week after surgery, at 3 and 6 months and then once a year for the next 10 years. No statistically significant differences between groups were recorded about implant survival rates, marginal bone loss, or clinical and prosthetic complications. However, concerning complications, post-surgical bleeding and wound infection were recorded in Group A more than in Group B. In cases of compensated diabetes compensation, implant placement could be considered a safe procedure.",0
"Introduction The main purpose of the study was to assess and compare bone mineral density (BMD) at prospective implant sites in the mandible in type 2 diabetes mellitus (T2DM) and non-diabetic patients using cone beam computed tomography (CBCT). Material and methodology A total of 40 patients were included in this type of cross-sectional study. They were divided into two groups, A and B, according to their haemoglobin A1c values. Group A consisted of patients with HbA1c between the range of 6.1%-8% and group B had patients with no history of T2DM. CBCT scans were made of the mandibular arches of both the patients to evaluate the BMD at lingual and buccal cortical plates and the trabecular regions in two successive slices with the assistance of PlanMeca Romexis software (PlanMeca Romexis®, Helsinki, Finland). The Shapiro-Wilk test was used to determine the normality of continuous data. The Mann-Whitney U test was used to compare the groups. Results There were no differences that were statistically significant between the two cohorts according to the Mann-Whitney U test at buccal cortical plate points 1 and 2. However, the diabetes group's mean bone density at implant sites-A, B, C, D, and E at trabeculae points 1 and 2 was considerably (7p>0.001) lower than the non-diabetic groups. The mean bone density of the diabetes group was marginally but significantly (p=0.009) lower than the non-diabetic group at lingual cortical plates. Conclusion Individuals with type 2 diabetes mellitus show significantly lower bone mineral density in the lingual cortical plate and trabecular region, however, implant therapy can be performed with certain mentioned guidelines in such regions. In the buccal cortical region, the bone mineral density is seen to be unaffected.",0
